,tsne1,tsne2,tsne3,class
0,26.536581,448.5465,-510.2623,1
1,-11.515435,496.33694,-439.41467,1
2,39.19893,558.66974,-386.46927,1
3,225.85556,-30.894695,-612.7726,1
4,155.96703,-380.71207,-561.3981,1
5,65.40322,-348.61835,-573.2723,1
6,-371.42886,608.4469,95.81504,1
7,-347.59674,-587.4593,279.26776,1
8,-467.08823,54.11034,92.21381,1
9,130.85551,393.44403,-2.6141627,1
10,144.3219,353.0189,-103.84173,1
11,204.49458,325.14633,-15.44618,1
12,134.16457,-591.8604,-25.950539,1
13,516.1841,-305.3085,-29.931482,1
14,254.7181,597.74384,-291.08224,1
15,-326.0965,-441.33987,426.4178,1
16,-506.4037,479.70804,68.907265,1
17,-287.87802,-318.54736,528.0069,1
18,-208.36809,-315.5654,385.40564,1
19,-10.912719,-42.220688,469.71545,1
20,-469.39456,-468.42908,347.96298,1
21,-106.555,323.53827,-140.82036,1
22,-115.734856,221.33612,-68.783714,1
23,-357.9725,368.03058,482.32806,1
24,-324.26376,-343.39215,271.84384,1
25,-258.12613,-240.6788,287.64117,1
26,-158.28754,-204.09982,311.92978,1
27,-213.40509,276.95917,-39.462738,1
28,-279.15518,256.60687,-138.22095,1
29,-88.18688,671.36664,348.2325,1
30,-13.930855,54.50264,378.4706,1
31,-519.5719,-486.10263,39.010254,1
32,-173.0627,95.31448,113.99084,1
33,-419.78928,-311.41602,146.53699,1
34,361.52838,-449.26678,130.30495,1
35,-477.38174,-339.14853,492.43774,1
36,-235.35104,-204.56387,-108.9141,1
37,227.23476,-76.63528,-15.769339,1
38,386.73682,564.7847,-31.401962,1
39,-342.44974,-342.65817,6.1097355,1
40,472.33228,-498.68823,67.182205,1
41,-74.37125,-352.2799,389.86133,1
42,-159.83302,21.275331,-179.369,1
43,-215.76569,106.86634,-192.23007,1
44,417.65283,-284.2592,-213.69774,1
45,-55.30889,-88.44215,90.71197,1
46,-54.447994,18.102537,56.60338,1
47,-50.251396,-133.04878,-8.860652,1
48,-460.03964,43.749325,-506.57706,1
49,-27.976984,268.79282,92.78322,1
50,-91.08714,196.08588,69.849014,1
51,-110.465004,-113.75651,598.7518,1
52,181.5067,-450.73163,173.8609,1
53,-7.129732,-182.30391,370.52954,1
54,319.7324,-223.15118,-49.495617,1
55,-75.98269,708.8235,-273.8264,1
56,42.452625,-433.88812,-164.79688,1
57,-92.49388,-307.38156,508.04474,1
58,-150.38765,-412.00607,526.59686,1
59,-93.6628,-197.94774,459.12903,1
60,-250.81165,-201.50658,388.06668,1
61,-102.159676,-22.456936,443.60745,1
62,-194.21147,-102.8118,427.4372,1
63,241.26071,-440.2017,-71.49883,1
