,tsne1,tsne2,tsne3,class
0,439.95245,53.18152,-214.18619,FH
1,436.96262,46.57713,-163.72482,FH
2,301.83762,-34.526676,-220.01036,FH
3,-248.65045,-18.452238,-371.79074,FH
4,299.47754,-54.99769,-183.81737,FH
5,466.75827,120.36576,-184.22975,FH
6,405.4632,5.9452305,-147.60461,FH
7,492.941,59.83181,-207.08638,FH
8,432.46204,111.43805,-223.66985,FH
9,517.6075,108.72285,-178.97244,FH
10,485.61426,-115.29097,-76.525055,FH
11,445.88052,39.02622,-264.13312,FH
12,343.28503,61.135723,-266.70444,FH
13,392.0737,57.613014,-242.77893,FH
14,405.7726,83.91814,-283.3091,FH
15,365.5783,13.48672,-240.02652,FH
16,391.1192,30.399702,-294.6169,FH
17,348.4859,62.445194,-205.79744,FH
18,393.27673,34.591087,-192.91032,FH
19,383.96893,45.20512,-130.96808,FH
20,449.12585,128.71494,-124.83827,FH
21,345.24472,17.045813,-156.58476,FH
22,436.81155,-43.06677,-215.25177,FH
23,378.50537,-27.016232,-191.59784,FH
24,423.53973,-1.7979033,207.1418,FH
25,320.33414,217.61464,-162.72887,FH
26,464.9792,-5.2298994,-137.37015,FH
27,457.26538,4.790055,-193.52597,FH
28,491.39404,177.45644,-145.88763,FH
29,365.28357,-154.66814,-251.02977,FH
30,479.95193,5.208233,-239.87625,FH
31,505.40842,143.52254,-82.38038,FH
32,494.85486,88.30063,-130.4496,FH
33,429.13156,-47.74417,-165.0835,FH
34,521.3238,121.0849,-129.69203,FH
35,343.99524,-112.05044,-275.51147,FH
36,352.51285,168.16255,-218.23694,FH
37,324.50903,148.40414,-189.33171,FH
38,308.31567,107.82355,-134.94907,FH
39,436.35666,5.412925,172.20285,FH
40,-180.04097,126.46961,-391.62906,FH
41,408.9546,102.49122,-156.96706,FH
42,389.5119,124.21274,-194.19257,FH
43,362.91418,121.59985,-154.47865,FH
44,430.90768,181.06596,-213.98267,FH
45,419.2608,1.5527191,-236.96362,FH
46,475.93744,149.27673,-227.64786,FH
47,389.3946,162.98328,-120.53695,FH
48,417.51596,155.12955,-161.17041,FH
49,426.55927,204.65195,-146.65306,FH
50,312.3063,146.37354,-90.43801,FH
51,362.89267,212.27977,-185.25685,FH
52,402.3232,-40.556396,-269.19943,FH
53,389.24448,-17.624512,96.11976,ER
54,385.4067,-14.899146,-8.039238,ER
55,22.478653,-182.86186,54.83979,ER
56,401.95428,36.25623,-10.56989,ER
