,tsne1,tsne2,tsne3,class
0,31.811111,-10.313183,-123.7609,FH
1,24.265,-0.21813205,-124.57281,FH
2,46.415287,-13.009925,-109.67736,FH
3,-125.53222,-36.080196,6.7935076,FH
4,54.641525,-7.6200933,-111.57795,FH
5,35.360855,-30.302454,-128.2613,FH
6,15.782826,5.2663736,-131.2244,FH
7,45.287067,-11.972698,-123.33696,FH
8,29.527006,-24.388287,-117.762505,FH
9,48.289616,-29.402868,-128.27182,FH
10,19.108229,-74.83865,-83.248955,FH
11,35.66541,-1.1829695,-115.489044,FH
12,13.954681,-14.175192,-107.21156,FH
13,23.490059,-6.1041956,-111.61079,FH
14,13.855138,1.4386042,-106.232216,FH
15,17.004465,-11.164419,-121.27706,FH
16,26.281364,6.274853,-106.21632,FH
17,6.910168,-3.250121,-117.00543,FH
18,17.153452,7.592092,-117.5099,FH
19,5.527575,8.936344,-126.52159,FH
20,31.227983,-28.320478,-141.82974,FH
21,6.8506846,-4.831919,-132.4358,FH
22,23.762056,-6.777636,-136.99576,FH
23,29.638018,11.580584,-137.23802,FH
24,-5.3464093,96.2767,-40.87028,FH
25,-0.34645596,-49.710396,-135.22057,FH
26,23.010134,18.523504,-126.99848,FH
27,31.873018,9.788429,-120.94433,FH
28,38.197727,-43.61779,-143.65804,FH
29,-9.785431,-59.890923,-106.83281,FH
30,43.577057,5.2471724,-123.89252,FH
31,44.50095,-43.180943,-131.94464,FH
32,44.892616,-23.382557,-139.07109,FH
33,19.866606,2.1529734,-144.86368,FH
34,49.18347,-33.519176,-139.79192,FH
35,-0.42398083,-49.392864,-107.9067,FH
36,14.025774,-45.762672,-118.5806,FH
37,5.218343,-39.944477,-116.60332,FH
38,-1.8575327,-22.407686,-125.36799,FH
39,-4.7986827,88.59039,-45.980553,FH
40,-114.6903,-9.475152,45.856075,FH
41,20.729052,-23.38284,-131.48218,FH
42,19.32648,-31.089205,-122.993355,FH
43,9.755903,-28.970854,-128.64769,FH
44,29.907679,-45.67023,-127.226524,FH
45,35.615868,-1.4145988,-132.41725,FH
46,35.504692,-37.392025,-118.03799,FH
47,13.812954,-31.346756,-142.76183,FH
48,21.922295,-35.653576,-134.88498,FH
49,21.825321,-44.61462,-143.81805,FH
50,-8.185498,-23.251766,-136.48105,FH
51,9.723843,-50.830696,-131.28827,FH
52,37.851425,-1.472337,-145.71837,FH
53,55.94669,60.833725,-77.51113,ER
54,51.820034,41.455772,-77.810684,ER
55,-59.9487,34.700695,122.20973,ER
56,52.781166,46.15129,-89.47564,ER
57,52.8098,35.366142,-88.36976,ER
58,38.90812,41.924465,-92.32587,ER
59,39.22631,52.25599,-88.1344,ER
60,28.52325,112.39491,-27.789791,ER
61,51.09397,56.04908,-66.77899,ER
62,63.124237,48.204086,-78.77052,ER
63,83.2106,22.398733,-68.18796,ER
64,81.5381,20.495527,-58.90096,ER
65,73.214745,69.11563,-63.52665,ER
66,77.14194,38.10281,-71.91517,ER
67,70.66636,31.462494,-63.375175,ER
68,-5.2322125,-80.754974,-80.76286,ER
69,43.878662,-29.948128,-155.54805,ER
70,73.98022,5.3458843,-72.761795,ER
71,60.798424,40.194267,-69.151054,ER
72,68.74153,16.9209,-73.14883,ER
73,66.25506,35.922756,-79.30157,ER
74,67.473785,60.563137,-54.989883,ER
75,64.51282,54.665115,-66.65751,ER
76,70.71409,51.054897,-56.224926,ER
77,66.50544,39.488087,-95.24934,WW
78,45.23981,10.674243,-93.01785,WW
79,36.37033,8.403113,-80.44236,WW
80,54.16431,75.63566,-82.07755,WW
81,35.129925,10.3046875,-66.942406,WW
82,52.73782,85.41332,-74.122574,WW
83,39.37076,28.311577,-94.30235,WW
84,48.90708,10.553648,-76.995094,WW
85,41.221184,-1.0311658,-78.460464,WW
86,-7.4071784,-86.45329,-73.452286,WW
87,45.098907,-11.766839,-84.35791,WW
88,57.558174,-12.132707,-82.17995,WW
89,77.99314,-22.630627,-72.045975,WW
90,88.32007,-2.482741,-76.1737,WW
91,69.94754,0.79350877,-61.233257,WW
92,74.23719,-18.956621,-48.304146,WW
93,70.44417,-8.655658,-74.33861,WW
94,68.94846,-4.0575924,-83.37544,WW
95,59.69004,18.139893,-81.59054,WW
96,77.68246,20.86769,-99.16915,WW
97,70.437614,21.704203,-89.63866,WW
98,71.22829,-32.40366,-68.84734,WW
99,68.81102,-38.713497,-78.41063,WW
100,61.47822,-34.085968,-83.36998,WW
101,61.320137,10.651382,-93.11846,WW
102,79.34973,34.18615,-92.54478,WW
103,51.264572,20.28207,-92.98816,WW
104,60.326252,7.3997827,-75.33676,WW
105,44.97519,22.755953,-76.287254,WW
106,40.857513,28.764603,-67.5127,WW
107,74.73797,-9.908109,-57.05289,WW
108,59.946857,10.746769,-64.39682,WW
109,56.596916,24.770441,-65.45296,WW
110,51.827873,-4.8965044,-61.45946,WW
111,48.546673,5.9131775,-59.6744,WW
112,58.309166,-13.12476,-64.342865,WW
113,-41.11685,62.97459,43.123276,TC
114,-26.241018,57.789635,40.257328,TC
115,-15.034454,45.682228,-8.150311,TC
116,29.000067,69.48596,15.612273,TC
117,37.670113,79.5775,22.083784,TC
118,25.645472,77.8397,21.136675,TC
119,17.172161,47.46151,45.07953,TC
120,32.198166,31.160013,37.92927,TC
121,15.715724,37.754044,39.907177,TC
122,14.556275,16.741463,14.715302,TC
123,10.372027,27.674145,6.7412577,TC
124,3.6471188,28.790985,0.3865228,TC
125,-51.293747,1.6747022,125.16577,TC
126,-0.075927146,32.417572,23.694092,TC
127,27.648848,89.585396,28.52733,TC
128,10.142205,18.424839,44.513626,TC
129,15.212094,26.948698,26.97257,TC
130,10.577338,26.29375,35.279472,TC
131,42.644115,118.52364,-43.855064,CS
132,14.888813,77.70814,46.95477,CS
133,-54.973366,41.471363,81.83893,CS
134,-55.219322,16.124914,59.806263,CS
135,-57.430492,6.956345,74.315834,CS
136,-54.9405,14.446926,84.58559,CS
137,-44.956776,-26.80192,66.35732,CS
138,20.26803,76.775764,35.457905,CS
139,-47.269253,-9.638341,62.626034,CS
140,-61.817734,24.470045,93.91716,CS
141,-72.86852,26.534458,99.92508,CS
142,-60.271183,33.130356,87.57588,CS
143,-46.729366,25.758558,90.925186,CS
144,-55.022797,89.437546,50.715927,CS
145,-34.21629,51.03972,79.667786,CS
146,29.783064,-41.18512,27.449669,CS
147,-40.2605,30.781544,74.84997,CS
148,-56.132164,35.26398,101.849045,CS
149,-8.837826,26.074905,82.37145,CS
150,-7.189411,-12.283161,71.22981,CS
151,-15.58015,-21.471542,75.34388,CS
