,tsne1,tsne2,tsne3,class
0,31.33859,25.880112,-46.69107,FH
1,29.976934,29.069021,-43.19027,FH
2,30.671293,26.04615,-52.652664,FH
3,25.378216,-48.43832,1.5854346,FH
4,27.207674,26.73568,-51.536617,FH
5,34.198887,14.950208,-49.83638,FH
6,27.694386,27.62016,-38.47335,FH
7,30.497625,21.38219,-50.15034,FH
8,36.786297,17.298145,-46.219814,FH
9,31.552618,15.245066,-53.911728,FH
10,13.562661,28.596668,-44.011406,FH
11,31.031881,21.462534,-44.691833,FH
12,38.20857,21.248325,-38.780827,FH
13,35.457504,22.936659,-42.705276,FH
14,36.28762,26.770847,-38.6821,FH
15,32.675552,20.18543,-39.948612,FH
16,36.73688,27.537636,-43.713165,FH
17,33.68391,22.966362,-35.74134,FH
18,31.8051,25.460407,-40.27326,FH
19,31.305801,30.390434,-37.522125,FH
20,32.335785,9.849894,-48.844604,FH
21,30.065245,26.96577,-33.798923,FH
22,27.921627,21.900017,-37.412872,FH
23,22.810215,21.805756,-41.249603,FH
24,30.957077,36.937508,1.997299,FH
25,35.82696,3.7038512,-35.86762,FH
26,23.518965,27.337593,-42.06253,FH
27,27.520863,24.347837,-43.21867,FH
28,34.609463,6.3958797,-52.87012,FH
29,19.425789,6.953243,-43.293407,FH
30,26.191736,21.21787,-46.591404,FH
31,34.919647,11.060836,-54.400265,FH
32,28.212986,13.118465,-51.03521,FH
33,24.108559,23.637827,-35.89092,FH
34,29.90676,10.940334,-54.299862,FH
35,24.728752,4.077639,-41.279514,FH
36,31.193403,5.584131,-43.829205,FH
37,28.591805,7.4794908,-40.62043,FH
38,32.007355,12.1677,-35.70729,FH
39,28.552982,35.852436,0.009238393,FH
40,-0.6735298,-40.212086,44.00039,FH
41,31.030014,13.179558,-44.85978,FH
42,34.158733,14.744471,-42.575672,FH
43,32.760086,10.952266,-41.194946,FH
44,39.224358,11.257145,-50.712692,FH
45,27.885544,19.034145,-41.982327,FH
46,38.375732,16.234344,-51.462368,FH
47,39.290348,11.997251,-42.768715,FH
48,36.160606,11.685429,-45.77555,FH
49,37.849987,7.0818243,-46.441956,FH
50,36.51285,12.823892,-33.980213,FH
51,35.45072,4.055462,-39.64321,FH
52,25.894354,16.530642,-38.14886,FH
53,19.90952,37.57567,-19.247135,ER
54,15.567061,33.17075,-25.629707,ER
55,17.092958,-10.928272,41.400898,ER
56,19.424288,35.75011,-27.186428,ER
57,18.200317,32.477444,-29.28138,ER
58,22.827837,31.441921,-25.626625,ER
59,24.369888,35.098248,-24.16842,ER
60,7.8136735,47.772045,24.177324,ER
61,20.806246,40.74115,-22.751757,ER
62,16.055248,36.480392,-22.374268,ER
63,4.198618,34.666786,-32.16513,ER
64,1.3990359,34.307343,-30.040155,ER
65,18.033958,46.94163,-17.663445,ER
66,8.93726,38.162712,-28.812532,ER
67,7.083689,34.66378,-26.487707,ER
68,6.8742266,31.801596,-46.848324,ER
69,27.392624,5.728687,-52.018345,ER
70,3.9024143,26.64095,-32.93861,ER
71,11.805551,35.66096,-23.561451,ER
72,6.722677,29.674637,-30.556614,ER
73,13.500725,38.340794,-26.75065,ER
74,15.4140835,42.796364,-15.645817,ER
75,16.06413,41.429344,-20.619661,ER
76,12.441387,42.91803,-17.804184,ER
77,15.805275,37.46976,-32.044987,WW
78,15.338793,22.951908,-29.734951,WW
79,13.711661,20.828815,-23.982964,WW
80,17.68476,20.332264,-18.366976,WW
81,8.9871645,21.473785,-20.92516,WW
82,15.877623,16.164604,-19.722853,WW
83,20.473448,26.9974,-27.277678,WW
84,10.522268,23.643196,-26.342436,WW
85,12.202578,17.217253,-24.285872,WW
86,9.718,32.300602,-48.927723,WW
87,11.013044,14.836836,-28.42201,WW
88,7.936272,17.079962,-31.378155,WW
89,-9.844464,7.297499,-42.315235,WW
90,-1.2329152,26.997759,-38.667873,WW
91,0.5585268,26.227682,-29.10947,WW
92,-8.031305,28.067377,-32.50968,WW
93,2.2849822,21.837044,-33.8191,WW
94,5.999147,21.044653,-33.974518,WW
95,11.1785145,28.60024,-29.83004,WW
96,12.37481,31.44381,-40.191902,WW
97,11.480381,31.761501,-35.13942,WW
98,-14.063025,8.474869,-39.971153,WW
99,-18.13973,10.25788,-40.474277,WW
100,-20.56936,8.8129835,-42.840797,WW
101,12.570213,26.129286,-34.276356,WW
102,15.702881,34.772564,-36.79898,WW
103,16.329876,26.898687,-30.91678,WW
104,7.846713,25.161043,-29.542028,WW
105,13.688796,26.882156,-24.628632,WW
106,13.870596,27.777311,-20.487427,WW
107,-3.9460485,26.30727,-30.350073,WW
108,5.122238,26.705637,-26.645706,WW
109,8.644949,30.206936,-23.920557,WW
110,2.918881,19.861475,-26.341566,WW
111,4.1314516,22.899397,-23.562563,WW
112,-0.11712306,19.2064,-28.8975,WW
113,-6.0648155,-11.537068,50.86486,TC
114,1.0934259,17.31286,29.886986,TC
115,19.507507,14.239583,6.5507092,TC
116,5.132026,27.116863,22.269012,TC
117,4.978432,35.236263,22.850554,TC
118,5.694342,31.01601,22.033253,TC
119,-0.5214701,21.911457,22.698437,TC
120,-14.5636,19.474539,9.779997,TC
121,-2.49721,19.718483,19.660118,TC
122,4.4096646,9.990222,17.511078,TC
123,9.690224,11.124904,18.304321,TC
