,tsne1,tsne2,tsne3,class
0,4.2609873,-397.55615,-26.196133,AB
1,-19.706322,-344.6101,-211.88548,AB
2,-5.062176,-380.96912,-174.57367,AB
3,57.729156,-24.023521,-426.79483,AB
4,75.21834,16.621294,-432.60562,AB
5,-137.86708,-288.77127,-206.03606,AB
6,92.52624,-266.96548,-12.278404,AB
7,47.482246,-164.83199,-340.29413,AB
8,-122.286964,-218.45149,-231.36514,AB
9,-225.47394,-118.41865,-284.15964,AB
10,-218.81165,-188.22575,-237.98938,AB
11,-171.2573,-173.29002,434.43704,AB
12,-183.83345,-264.2709,-317.11758,AB
13,-169.76529,-279.1576,-262.0665,AB
14,-253.06543,-248.58629,-214.66603,AB
15,56.594364,-372.64676,-211.11047,AB
16,63.345253,-426.92667,-198.34856,AB
17,113.93887,-346.48816,-198.82071,AB
18,-74.9386,-310.4113,-198.54178,LV
19,-55.206535,-273.69272,-309.5872,LV
20,-99.27792,-348.96133,-239.77892,LV
21,232.8098,-180.29477,145.68182,LV
22,-103.23381,-317.98096,-134.86513,LV
23,-86.33865,-366.29742,-175.6615,LV
24,56.098812,-232.67552,-125.931885,LV
25,20.497509,-350.96326,-29.916466,LV
26,56.98989,-239.42293,-181.12535,LV
27,206.41423,-181.5008,-125.75008,LV
28,-350.38202,-58.30754,-8.830869,LV
29,107.68275,-379.30554,-74.76878,LV
30,-26.725744,-333.963,-129.8037,LV
31,15.580144,-309.58865,-168.2735,LV
32,61.21797,-322.61523,-136.26366,LV
33,-18.738937,-242.50671,-279.311,LV
34,2.936833,-215.46849,-223.48819,LV
35,32.755013,-253.9917,-232.62157,LV
36,-37.97557,-241.82588,-356.62323,LV
37,66.682274,-213.88976,-259.902,LV
38,193.65521,-48.420002,-247.11345,LV
39,139.42685,74.80953,-258.07462,LV
40,-80.1409,-12.159601,-374.01422,LV
41,-23.239998,-49.154076,-360.2047,LV
42,71.70033,-307.98993,-335.6927,LV
43,94.2212,-300.34332,-289.95154,LV
44,43.269398,-319.30917,-267.34262,LV
45,62.466465,-306.8564,229.19193,SV_SE
46,-238.17188,-24.572567,318.44882,SV_SE
47,-327.22937,128.0715,-8.323727,SV_SE
48,131.11981,93.88866,156.44933,SV_SE
49,-342.32483,-94.62364,241.87929,SV_SE
50,131.65652,75.22399,331.3087,SV_SE
51,-119.80152,76.16952,376.5454,SV_SE
52,394.23688,-26.673584,-54.28606,SV_SE
53,-40.580936,-136.40746,-315.15463,SV_SE
54,142.72833,-271.99814,148.90282,SV_SE
55,82.658745,-70.05735,268.18,SV_SE
56,-59.511883,-23.875126,345.35242,SV_SE
57,213.22717,365.59122,-148.33159,SV_SE
58,-58.584473,245.75916,366.7023,SV_SE
59,62.77395,-16.189102,188.09265,SV_SE
60,-21.70414,-60.46316,278.49164,SV_SE
61,-26.837534,-25.68366,194.90036,SV_SE
62,4.8638887,-133.48953,156.87791,SV_SE
63,-65.794716,-180.01447,145.41515,SV_SE
64,-79.33255,155.32655,305.6711,SV_SE
65,23.254251,-77.42984,218.51695,SV_SE
66,28.340939,-16.438507,251.94417,SV_SE
67,-75.06972,287.9059,226.69316,SV_SE
68,114.70589,63.08523,211.12646,SV_SE
69,80.375496,109.445114,217.72574,SV_SE
