tsne1,tsne2,tsne3,class
-25.638748,-67.916504,15.954619,
-26.048477,-83.845184,19.488827,
-28.739792,-85.25415,36.126354,
90.271286,-38.99819,-8.687239,
108.38275,-28.559416,50.77986,
-52.121784,-70.73404,77.89344,
3.1320288,106.077415,-46.435295,
56.090004,31.105328,102.72159,
59.879494,75.95942,-4.0783634,
-27.511587,-37.581135,-54.57224,
-16.456087,-30.592087,-67.65994,
-15.925158,-25.779158,-48.084126,
-25.904558,-81.68594,66.39387,
58.240986,68.81897,-46.66813,
44.903255,66.10494,-58.256546,
3.4477293,30.018496,113.03211,
17.433416,13.894182,-114.852936,
-46.879143,90.97479,51.711544,
-35.72393,-36.08553,74.62077,
-48.050358,-12.681132,25.475813,
-17.542313,79.49907,76.84476,
-106.92763,-56.684772,-16.720121,
-105.45206,2.869604,23.14998,
-87.18754,17.176094,-87.581276,
0.79881835,-97.21713,-74.55976,
-85.851746,-64.18042,16.20387,
-81.35203,-55.02376,33.440582,
-50.56696,-87.287605,-3.9954565,
12.925762,30.136639,-35.87375,
-63.83337,-66.93679,-10.385848,
-56.795315,-30.720324,4.2417893,
44.08099,92.93532,64.40799,
-69.097855,-25.936687,44.048927,
27.803617,106.277954,14.475357,
22.959127,21.053505,101.36898,
-15.615172,69.64151,43.806763,
13.622905,-30.839342,57.41294,
-32.522602,-32.96,1.8608054,
-43.252052,-39.06423,-20.948002,
9.382084,90.92699,47.165215,
5.262919,81.01519,65.902504,
-20.078497,92.245384,52.215183,
-89.04193,-73.76701,-33.24723,
16.363409,12.639804,-18.405737,
43.999454,-15.086028,62.54636,
-25.766748,-45.76379,46.009907,
-13.2551,-34.731415,34.049625,
-10.557518,-56.83857,44.52004,
47.00557,-47.473793,89.03651,
94.930405,43.849323,-24.147753,
-18.73635,-17.835413,56.72357,
-76.45012,25.370974,42.077724,
12.4844675,5.170895,5.036597,
-55.888824,19.78227,45.077457,
21.133436,-17.984709,23.254602,
-92.77662,47.13149,-68.44377,
78.30782,16.055655,30.247435,
-39.816338,63.44009,55.197823,
-50.09668,68.282974,73.340195,
-46.77532,42.787796,50.39065,
18.272243,69.7444,-84.20312,
-43.392994,-19.581104,40.18337,
-65.46409,42.573975,72.97162,
52.289814,7.066925,27.212875,
36.249084,-9.352182,29.346264,
61.849663,-12.216764,-20.37519,
61.3049,70.99169,72.59089,
49.20156,73.066185,89.51213,
42.24893,57.46732,102.97375,
-92.49791,-12.933198,67.733826,
-63.068157,97.21172,-50.16939,
165.4146,1.8206397,-111.203606,
-87.89853,-4.180595,45.384846,
-103.76448,38.60101,-26.39265,
-46.39166,89.84117,-32.402035,
-4.279726,121.71656,31.582306,
-12.561753,82.360306,-4.1890225,
-86.68265,-58.18772,87.56597,
-27.885399,41.13897,83.557655,
-3.0120175,-10.250389,96.44921,
17.536264,55.597153,75.93034,
13.749257,70.3036,42.073433,
52.830593,50.17449,79.462036,
4.9169517,97.84729,16.235016,
7.1626,-0.6027366,64.34484,
20.054064,-3.882166,55.184944,
19.025467,13.908648,69.38514,
58.703007,52.536736,-16.20319,
-103.982925,-31.71034,44.75697,
20.875143,-29.687927,80.8463,
3.7961547,-10.655217,-10.022334,
13.4493475,-55.381187,36.1619,
9.414928,-39.05428,34.639534,
102.449165,14.527873,-32.45492,
71.71172,-9.125817,-36.96029,
55.50424,1.652309,44.24283,
34.28431,80.92815,-6.4800773,
84.63857,78.12662,20.671131,
103.477295,9.340339,50.817104,
-137.13625,67.87322,222.18794,
-27.95372,69.97254,19.131672,
-84.46856,19.501438,70.26365,
-27.930885,67.16862,105.869225,
56.916073,-114.18318,0.70778555,
78.16918,64.70437,48.80159,
-10.725691,-52.071106,-53.250088,
-5.860515,-47.70769,72.68744,
7.90754,71.56053,15.682085,
-6.5488234,52.073116,16.07246,
20.968433,37.47323,62.840614,
-66.55033,-91.52463,-30.144445,
-72.76422,77.601746,37.05074,
-61.82956,70.55032,19.475763,
-57.652863,55.37394,25.769348,
104.87216,-27.835222,8.627686,
124.24108,-18.095802,23.765066,
116.63387,-11.394795,2.2448115,
-56.414494,-62.78383,16.925417,
14.922077,-106.391045,-34.225166,
-39.411064,-5.302824,70.37957,
104.52352,-6.7364883,21.800674,
-55.03483,108.86681,-10.976035,
30.22341,-64.50835,-0.7529527,
-109.71218,9.129647,-9.510988,
-113.67101,-2.8229356,-23.591845,
-122.93163,12.683323,-27.135153,
35.3542,-42.983112,20.522764,
-148.43619,223.04555,-88.28407,
86.3905,-86.29803,-7.9381013,
52.09719,64.54901,22.401098,
57.79258,-68.9003,-17.1564,
68.573875,-61.774994,51.289497,
-41.307426,-48.513157,-92.55946,
-29.709179,-42.073486,-106.28438,
-20.297447,118.896706,8.646881,
91.89663,-56.895287,51.044518,
85.485756,-65.8901,26.809732,
96.01341,-41.01955,34.548916,
-11.6005745,53.015076,66.426056,
-1.8479277,14.826896,86.10596,
0.502191,45.726753,46.49674,
32.02703,-27.116386,-55.00785,
2.107419,-50.47506,14.353284,
14.607099,-25.42648,-44.47672,
34.173603,-46.981926,-95.91305,
30.32864,-27.102047,-84.89671,
-49.492744,-40.563446,99.01495,
74.45966,-28.847595,61.402954,
93.66855,-14.654645,71.03966,
77.202,-35.30553,79.84622,
127.16909,66.62112,-101.92082,
38.88563,-2.1273143,-94.52865,
45.065144,-7.701635,-73.4017,
22.497442,-61.110504,-58.92382,
22.117794,-47.674816,-70.34245,
37.932945,-51.124172,-59.190987,
6.5100155,-43.235275,-81.7739,
-4.1146975,-56.494946,-100.02096,
61.171577,-38.27906,-86.67935,
3.0970995,-77.76074,-46.695473,
-1.9565824,-103.80602,14.459118,
-11.365203,-90.586395,-29.521189,
-23.538439,-88.44724,-50.266396,
-21.50633,-110.035835,-43.919422,
-35.806717,-93.524734,-40.401207,
67.595604,-8.395909,-80.00129,
68.30231,47.627136,-77.96882,
62.34778,29.186047,-88.55834,
71.01899,35.75513,-60.604736,
82.94293,27.492134,-67.77815,
66.30452,16.076178,-58.57042,
1.2204387,-65.72294,-12.46919,
-18.95553,-65.780685,-91.17178,
-25.078236,-76.72779,-74.65495,
14.50039,-88.0428,-2.3349242,
104.58785,-43.813522,-31.836866,
34.541203,-88.61942,2.4781156,
8.0840845,-73.2275,15.981387,
2.7484803,60.00788,100.122665,
23.164104,-10.7637205,-28.214724,
55.606293,-33.40577,42.15431,
75.66086,-38.292572,16.919954,
94.15228,-11.7657385,-14.606814,
-85.84354,-32.65901,-10.305062,
-74.21969,-32.93414,-26.603762,
-60.201214,-23.598106,-36.519367,
-80.15972,-95.78371,-0.14108843,
-47.776943,-36.343517,-50.318302,
-27.764168,5.5495057,86.60421,
-5.093446,26.038342,-94.310905,
-36.36029,-8.661715,-96.66894,
-25.25451,36.943764,32.61397,
40.138737,2.175795,-46.671432,
75.567635,-68.76191,-39.54268,
82.614296,-46.843857,-30.251793,
15.533875,85.40542,-27.674528,
40.246723,32.265415,-53.448624,
62.22335,-42.04764,-38.255856,
4.302726,-81.149216,83.19845,
4.14901,-104.704994,59.96741,
-60.827774,-0.6499067,53.05994,
-45.298492,-43.174053,24.664026,
-31.041243,-7.072961,-53.886047,
-29.604609,-9.884074,-75.220375,
-38.444,94.49224,10.210529,
-10.650811,5.777303,-72.734085,
-10.6656885,-1.8494065,-97.170975,
41.412853,30.427763,49.902897,
30.082113,43.281708,37.385105,
34.155014,49.410942,55.24942,
-16.578588,-18.553865,-21.819408,
15.806167,43.38139,-66.84753,
-12.761639,-116.53455,-7.920666,
13.6263,57.809452,-8.078223,
3.5663998,-75.98861,49.876938,
25.211267,-26.772514,-1.2309258,
-69.58007,65.15329,-43.74244,
-44.70095,5.8642545,107.713554,
-59.07569,62.152714,-63.47959,
31.940865,26.515085,-84.27766,
83.883705,-1.177837,79.07515,
90.43316,-90.31639,13.765637,
-1.0985243,54.12908,-32.36129,
81.826164,54.49147,1.9393497,
-18.124376,64.99096,-35.15154,
-70.15558,40.187466,-0.51225793,
-85.94294,51.803337,-15.786289,
-43.290375,22.216764,67.30333,
-46.277523,-9.199314,-14.561332,
110.03054,26.157394,22.376785,
-80.71229,26.204784,10.7442045,
98.89032,45.574303,21.501448,
-31.498251,11.013607,-4.647668,
-40.206333,6.0819597,-27.247461,
51.416683,-25.27903,12.521149,
61.756374,-36.216278,-7.1572323,
58.8403,34.31544,10.813009,
-68.68664,77.96955,-7.741079,
-102.700226,-5.1112795,-52.176235,
56.310993,-158.99068,-2.0385725,
-59.120636,10.9833,82.11308,
-89.09923,2.5996907,1.1633822,
72.08793,159.9543,114.67086,
-79.80277,-20.249575,17.13458,
48.74956,102.26694,-36.431545,
37.3373,99.974724,-54.077625,
8.068063,-14.21179,-72.653946,
55.840565,-68.61506,-78.92016,
18.341276,-31.32947,-116.90669,
125.77752,-42.310158,-2.8154945,
-27.267096,85.13139,-57.09745,
-99.7364,72.81793,-39.008377,
