tsne1,tsne2,tsne3,class
14.361436,15.8721285,-63.11241,FH
9.692432,18.660492,-57.162525,FH
26.68148,14.648308,-59.87917,FH
-14.43781,-36.76579,-50.056564,FH
26.436502,15.1411705,-53.381886,FH
15.05145,28.026642,-62.287594,FH
3.1397834,14.742118,-54.01565,FH
19.575449,20.118391,-57.541763,FH
11.1893835,23.266987,-68.18561,FH
21.69344,29.482077,-57.43823,FH
-18.658627,14.466541,-56.508743,FH
16.84754,8.256072,-62.884243,FH
16.062857,10.161384,-72.353645,FH
9.288156,9.462716,-67.29334,FH
7.455094,14.646284,-73.045395,FH
2.435591,5.973827,-65.217285,FH
6.2760663,5.5875196,-74.06116,FH
-0.61765677,13.214933,-69.07717,FH
4.814808,15.07918,-62.896008,FH
1.5589052,21.608746,-52.487305,FH
8.09817,33.373894,-58.186157,FH
-4.213205,16.966564,-58.143837,FH
7.308989,7.908361,-57.38831,FH
-2.4458845,7.355711,-56.0426,FH
41.642582,34.970104,-28.99615,FH
-13.246832,37.03024,-70.49256,FH
9.811481,15.404058,-47.325653,FH
14.301628,11.877312,-54.636074,FH
11.3381195,42.25749,-60.547005,FH
-22.87832,15.274747,-70.26081,FH
16.701357,4.3771863,-55.631664,FH
22.407827,39.75615,-60.428543,FH
15.005372,30.468212,-51.849274,FH
5.9611897,6.3310413,-49.679993,FH
17.727915,35.99362,-54.224262,FH
-14.847339,17.207605,-71.777824,FH
-6.7429075,25.63927,-73.56415,FH
-10.45843,23.443024,-68.03099,FH
-12.255188,29.492685,-60.180756,FH
40.045616,29.432215,-30.372032,FH
6.9288783,-8.022458,-36.91962,FH
3.818369,26.23643,-60.758698,FH
1.7997231,24.454456,-67.57278,FH
-2.8779829,29.219244,-63.621788,FH
14.641903,34.86909,-70.6729,FH
10.641675,2.0743065,-62.19573,FH
19.532423,27.460138,-69.340225,FH
5.8695426,29.978529,-74.236946,FH
6.3804264,31.541124,-66.553,FH
3.59742,38.92982,-68.30201,FH
-21.943806,30.701406,-59.556877,FH
-5.789849,34.57829,-73.19804,FH
3.5250905,-2.1082065,-59.256523,FH
2.3620021,39.857647,-30.781406,ER
-10.437177,32.974617,-39.19167,ER
-6.6788077,20.423853,64.627846,ER
-2.1328747,34.766518,-40.720337,ER
-4.1887393,28.16781,-42.25086,ER
-8.282688,36.166183,-47.58842,ER
-6.7879634,42.884235,-43.652893,ER
27.592133,63.037712,-10.478312,ER
-2.4164617,46.68776,-34.39268,ER
-6.954551,37.38333,-33.774517,ER
-20.529902,24.677944,-24.84648,ER
-15.734337,23.77352,-20.452623,ER
-9.516851,49.209812,-20.260181,ER
-14.313534,32.121616,-29.08921,ER
-9.767236,30.943113,-22.28196,ER
-35.77694,22.795475,-35.64543,ER
9.91826,39.33108,-46.608265,ER
-16.850971,15.0841875,-26.799364,ER
-3.7265623,33.173153,-28.267004,ER
-11.88817,21.119438,-29.600672,ER
-6.8869667,28.53365,-33.274933,ER
-1.5455517,46.952896,-23.206167,ER
-7.103836,42.87644,-27.92236,ER
-3.7711492,40.715702,-20.990036,ER
11.061312,22.801098,-34.56606,WW
-4.6286845,10.723385,-43.207176,WW
4.2553983,15.205219,-24.545738,WW
8.733897,30.346949,-26.431934,WW
7.0172634,10.808886,-32.5851,WW
8.036653,24.544682,-21.377712,WW
-11.359048,25.332712,-48.041145,WW
-155.48285,75.719734,-67.56677,WW
-0.1907075,11.965409,-20.018488,WW
-33.754612,18.542654,-39.404778,WW
-5.1086416,4.8915386,-18.1982,WW
-11.279635,-0.41229233,-21.626894,WW
-17.246035,-4.9587283,-29.424511,WW
-25.504656,10.802773,-24.149773,WW
-19.540443,11.148461,-33.421352,WW
-19.467434,0.42516556,-43.809925,WW
-17.14007,4.1723742,-26.282537,WW
-13.947807,8.394705,-21.815605,WW
-11.606741,20.396767,-37.385975,WW
-24.001772,22.893175,-43.15257,WW
-18.970774,23.536114,-37.457287,WW
-16.202175,-7.335005,-35.608105,WW
