,tsne1,tsne2,tsne3,class
0,36.288765,-12.578333,12.266487,FH
1,34.530342,-14.512001,13.966513,FH
2,37.53236,-12.782621,8.446529,FH
3,1.690628,38.044277,-4.8657813,FH
4,35.382824,-13.396307,8.211231,FH
5,39.620197,-5.251458,11.780907,FH
6,31.886509,-13.543641,16.003057,FH
7,37.29585,-9.914514,10.198039,FH
8,36.576298,-5.575766,11.145355,FH
9,42.34582,-6.6640368,12.005446,FH
10,22.8393,-7.9543753,14.919589,FH
11,35.589703,-9.687697,13.31357,FH
12,37.63387,-9.369316,18.96502,FH
13,37.429394,-10.32233,15.838727,FH
14,36.83144,-13.004365,18.206787,FH
15,35.083256,-8.591727,16.485975,FH
16,38.702766,-13.129193,15.52978,FH
17,34.30846,-10.653661,19.091835,FH
18,34.75446,-12.140452,16.038492,FH
19,33.583366,-15.291845,17.624537,FH
20,40.37402,-2.93617,14.548684,FH
21,31.646128,-13.231167,19.38317,FH
22,31.667208,-9.984809,16.478912,FH
23,29.823662,-9.539175,13.006735,FH
24,10.484148,-12.787194,33.864723,FH
25,36.618065,3.712224,17.107788,FH
26,30.318819,-13.049103,12.892569,FH
27,33.150913,-11.505241,13.063463,FH
28,43.28837,-0.9553616,13.447304,FH
29,33.010952,-4.8967466,24.586973,FH
30,33.518322,-9.610471,10.7345495,FH
31,43.019653,-3.357517,11.454524,FH
32,41.656017,-6.360786,15.02769,FH
33,28.995007,-10.764622,16.728678,FH
34,43.754604,-5.0602365,14.062827,FH
35,34.6952,-1.7560681,22.243553,FH
36,38.19497,-1.5498748,18.488035,FH
37,35.406525,-2.084765,19.058949,FH
38,32.121357,-1.5350575,16.376312,FH
39,10.580232,-13.946664,32.296062,FH
40,-15.6064415,36.303413,10.7724285,FH
41,37.466206,-4.6798887,15.229866,FH
42,35.271915,-4.3334374,13.865411,FH
43,35.66088,-2.339445,15.601611,FH
44,40.19764,-1.8361714,9.856562,FH
45,33.006336,-8.100926,13.8604,FH
46,39.276268,-4.789474,8.8805,FH
47,35.494938,-1.4177663,11.351718,FH
48,37.621056,-2.4589565,12.693784,FH
49,38.814533,0.46277052,12.629534,FH
50,31.150309,0.48252633,14.275587,FH
51,38.193142,2.0146317,17.047789,FH
52,31.213463,-6.4630065,16.081387,FH
53,20.82832,-21.747877,17.98384,ER
54,22.811192,-20.742046,12.692743,ER
55,-15.929844,11.794338,1.1438977,ER
56,23.783472,-18.994705,14.949201,ER
57,24.145039,-18.191238,12.563749,ER
58,27.111628,-20.122147,14.564165,ER
59,26.111488,-21.636606,16.50432,ER
60,-12.265868,-20.639132,28.727312,ER
61,22.30584,-23.68946,16.261894,ER
