,tsne1,tsne2,tsne3,class
0,-137.17862,-343.37015,427.57074,AB
1,318.30237,-328.05103,342.44537,AB
2,379.04257,-350.10617,385.33136,AB
3,592.8144,2.021557,129.2138,AB
4,593.3204,-55.36972,158.01454,AB
5,159.14493,-421.85703,342.6368,AB
6,10.593135,-359.79758,256.69113,AB
7,327.49033,-405.03998,64.26183,AB
8,116.4942,-440.40402,252.33717,AB
9,83.197365,-115.85494,561.5208,AB
10,353.28467,-321.21127,185.29831,AB
11,319.32324,-284.966,228.45811,AB
12,37.728542,-323.53253,414.58792,AB
13,79.30293,-377.27808,365.23734,AB
14,49.270737,-498.83432,412.43884,AB
15,424.40662,-264.59836,344.5032,AB
16,462.75424,-262.36188,416.97913,AB
17,445.9817,-235.93242,257.26355,AB
18,223.12889,-345.88754,325.27908,LV
19,273.0801,-220.07018,472.7822,LV
20,206.31306,-328.11545,409.647,LV
21,-405.7765,402.72864,33.678406,LV
22,260.47168,-428.96735,277.42206,LV
23,253.92712,-407.56143,377.9458,LV
24,366.03827,-36.9117,440.9938,LV
25,-130.89406,-296.77725,481.20413,LV
26,383.9273,-69.134415,368.84793,LV
27,241.0521,61.825523,479.65933,LV
28,97.8576,-306.13116,259.42697,LV
29,445.33972,-401.0576,160.1423,LV
30,345.88666,-441.52637,352.80096,LV
31,377.73734,-385.5874,288.1719,LV
32,402.49936,-464.4577,267.5793,LV
33,321.309,-181.35683,418.09866,LV
34,333.24188,-177.22945,319.8755,LV
35,395.20615,-151.07806,343.4587,LV
36,297.57812,-159.28032,527.49817,LV
37,479.079,-126.63905,354.1765,LV
38,352.5736,127.85689,351.77975,LV
39,443.3631,70.09903,236.74521,LV
40,442.42398,17.666964,312.7399,LV
41,399.99985,-77.44278,272.97748,LV
42,562.50543,-330.00708,212.19849,LV
43,564.28723,-309.07822,283.2167,LV
44,491.93597,-350.07928,297.0939,LV
45,-235.70416,-279.5781,-168.10107,SV_SE
46,-516.2113,-67.481674,98.60487,SV_SE
47,-295.60556,-318.37955,-90.20002,SV_SE
48,198.01588,148.26843,-269.89175,SV_SE
49,-370.53873,-64.13087,232.70242,SV_SE
50,-377.90543,89.04071,-516.86975,SV_SE
51,-474.0501,186.47025,-100.49159,SV_SE
52,-402.63803,123.473595,69.60031,SV_SE
53,395.65396,-182.8841,-42.28407,SV_SE
54,-338.7536,-390.83267,50.805984,SV_SE
55,-248.13416,-124.791534,-96.185196,SV_SE
56,-444.24927,21.752754,-183.99928,SV_SE
57,-222.08086,-76.484436,-133.87856,SV_SE
58,-371.80444,361.5588,-321.53574,SV_SE
59,-192.87514,-132.36612,-199.93619,SV_SE
