tsne1,tsne2,tsne3,class
-381.47174,-340.39432,452.82996,1
433.0505,-444.50858,-39.79874,1
-461.89612,-360.88058,318.74225,1
171.97404,-302.4083,523.7678,1
352.7892,-165.03166,690.6832,1
78.58347,-17.887571,619.39935,1
566.05334,-14.469164,-280.55786,1
434.98196,539.9115,180.12314,1
564.96796,-96.22381,-297.0018,1
75.19262,726.1059,-178.91557,1
-190.46455,-193.8983,-376.97214,1
152.63689,749.9082,-112.67165,1
476.20032,-178.27945,-85.42388,1
524.9624,-233.48422,-18.058626,1
572.4159,-159.03683,-63.263428,1
453.5397,237.24402,-243.34085,1
458.7968,310.8386,-331.02182,1
470.11673,239.92491,-389.38812,1
277.11246,375.5821,-294.07397,1
-596.857,-248.56628,-137.50467,1
589.9664,334.0185,-174.18459,1
31.481474,-192.34805,-489.72382,1
154.48193,-217.31569,-219.72343,1
21.742508,-217.87987,-655.4102,1
280.24008,412.42728,-119.83985,1
226.92822,317.80392,-188.26172,1
152.24193,398.77475,-200.29764,1
116.840225,-312.9377,-173.89206,1
213.06021,-352.53458,-127.15789,1
-79.852104,110.64413,189.40349,1
-169.87567,108.61717,621.72394,1
-628.67316,-338.67914,87.48001,1
199.29982,-72.463585,-245.33025,1
319.6436,547.1729,-161.37889,1
494.59988,369.83597,-138.79805,1
505.8962,455.01816,-192.70317,1
56.989754,390.04163,202.87222,1
51.710175,-139.66283,-96.37509,1
-70.82157,-384.96234,-489.7396,1
397.6942,552.41974,-23.034567,1
-429.6464,-559.8843,-205.73763,1
376.60513,401.64026,-230.38304,1
340.5687,-31.167206,35.30486,1
388.56046,-112.292274,3.287207,1
438.67023,3.4180896,-5.037724,1
4.2546043,289.1077,34.24094,1
-101.76503,262.81924,34.340355,1
19.996643,214.46416,107.22676,1
331.69327,-334.91135,93.79225,1
181.94557,-387.24362,-5.200254,1
99.892395,-98.78457,-333.8892,1
18.923004,439.55527,-348.95724,1
227.40295,-81.298874,23.040062,1
29.684294,307.1128,-305.71375,1
663.01556,61.837196,38.788513,1
-242.37886,157.93338,-769.3867,1
594.1597,-165.04105,239.504,1
319.94714,244.89667,-360.53726,1
324.1608,339.3804,-435.1471,1
205.66853,208.9448,-345.73767,1
177.5255,322.63773,-280.76855,1
105.97886,257.99142,-471.12155,1
150.6309,332.75214,-393.87506,1
448.48123,135.3723,141.21153,1
579.23145,75.08085,102.08073,1
474.28854,4.7812324,136.32088,1
557.8772,475.00873,64.68969,1
579.14716,361.86893,47.481018,1
576.5789,333.1085,163.02663,1
-204.78236,412.8536,-577.7969,1
-114.351326,377.09216,-499.38748,1
-254.06667,-563.1362,-390.31863,1
-177.82872,282.3008,-574.25446,1
-303.86017,-59.718597,-357.03873,1
-65.37414,309.23416,-617.85004,1
134.06174,315.50595,-96.33052,1
55.57441,427.9235,-137.63475,1
-383.86853,-440.75873,-8.058929,1
178.17,527.1837,-229.05399,1
-510.1684,-479.48102,72.74921,1
70.03163,561.32874,119.00478,1
296.98297,503.72046,21.269333,1
445.9659,406.7816,110.54602,1
260.01492,471.95956,122.71415,1
186.51178,305.11502,91.57264,1
212.70122,219.60239,81.1917,1
236.96628,321.47037,-0.54376334,1
-121.51456,340.4031,149.96204,1
-71.35307,369.96017,242.18242,1
-23.792683,257.64838,244.55286,1
192.06729,-191.15921,-51.820206,1
190.56192,-107.71817,-108.032715,1
-113.14674,342.0867,-62.843693,1
373.59668,236.92537,651.8364,1
511.32697,12.869708,244.81578,1
398.57693,170.51932,220.24324,1
398.8264,-144.64955,597.80347,1
347.36267,-12.63309,629.12195,1
483.85187,5.918743,682.1145,1
77.76914,192.80931,-121.905426,1
27.424622,294.26373,-144.89114,1
2.1988184,162.9305,-75.31121,1
-79.061134,590.5289,234.93007,1
-168.79767,646.46814,255.07043,1
-207.64836,574.9633,290.9839,1
-42.151707,-208.75307,-176.22829,1
-78.52944,-230.90085,-63.298473,1
51.01564,-97.75998,-201.88684,1
195.42229,510.37717,-434.22815,1
-462.10275,-530.7165,-36.99731,1
182.71742,206.3615,-195.7009,1
-248.73105,421.74307,-356.46408,1
-193.98944,102.82486,-507.9957,1
-270.9806,321.1676,-390.3217,1
186.60689,-247.78943,664.9485,1
86.05497,-169.51321,710.9932,1
205.2741,-133.05846,705.6927,1
93.078064,-309.23584,-363.89175,1
30.17077,-202.23627,-301.99567,1
-65.8125,-132.70128,-272.50983,1
146.90054,-141.84581,590.64233,1
246.63661,-197.657,582.3111,1
338.98364,-3.3385859,263.93118,1
-418.5601,-191.96259,-551.2633,1
-354.36453,-194.85385,-468.4906,1
-341.28815,-284.18277,-516.3749,1
227.13261,-106.66806,190.1665,1
