tsne1,tsne2,tsne3,class
-477.31723,45.516735,150.54875,FH
-374.37338,122.35125,154.8408,FH
-400.69473,110.13622,281.19998,FH
-6.119996,-173.4805,-465.2567,FH
-358.23553,98.480835,276.75125,FH
-435.61087,76.93824,165.0685,FH
-326.02844,118.70781,129.82904,FH
-404.57825,113.10377,216.74779,FH
-447.79327,122.61295,133.66652,FH
-427.21667,51.712803,215.76727,FH
-244.73274,48.1386,185.24803,FH
-407.2258,171.12152,178.76753,FH
-352.10428,230.60698,91.61266,FH
-418.42465,178.35454,120.269264,FH
-419.5866,222.58682,87.01488,FH
-382.27335,214.09834,138.20247,FH
-442.08228,225.73492,146.36467,FH
-377.3064,178.63586,65.56837,FH
-361.00397,163.20026,118.932,FH
-286.05847,99.68969,106.23477,FH
-416.0605,32.3382,120.14411,FH
-320.53696,127.85229,68.107574,FH
-324.35287,193.58287,160.95569,FH
-291.69345,174.82431,107.80492,FH
-304.2168,272.01624,-72.434975,FH
-417.18274,65.38877,-54.05567,FH
-312.65244,101.601616,191.28061,FH
-351.30527,153.0063,198.05481,FH
-479.2541,-2.523953,111.46955,FH
-366.81604,-63.70686,41.45135,FH
-388.79962,179.03162,232.33386,FH
-457.57922,-17.846836,192.14505,FH
-375.75812,40.023087,176.86513,FH
-287.3991,155.03326,169.8109,FH
-403.52673,5.60371,186.9703,FH
-355.4273,-13.238468,16.040901,FH
-413.2285,22.229462,35.704533,FH
-374.80182,40.391388,12.346034,FH
-355.27515,110.315575,-1.870646,FH
-314.35925,235.8902,-90.802574,FH
56.13326,292.91885,-175.30777,FH
-379.85837,77.36936,98.61623,FH
-409.20905,116.58498,87.97871,FH
-396.18954,90.56547,45.884624,FH
-510.20053,91.581,114.41675,FH
-366.7078,216.46368,193.07745,FH
-492.41763,97.21447,174.99062,FH
-465.76068,117.35579,59.046097,FH
-444.85196,73.794174,88.23936,FH
-486.26627,50.955627,57.11151,FH
-400.01025,157.87613,-12.248832,FH
-446.8745,50.749058,-8.623882,FH
-334.2679,260.4759,168.47264,FH
-101.61769,281.93378,269.43994,ER
-181.2872,215.26627,248.24356,ER
285.51843,6.617768,356.62988,ER
-202.38747,239.01535,200.65854,ER
-226.60242,199.51811,219.43677,ER
-237.3665,263.0979,246.19646,ER
-198.74492,300.59296,240.1187,ER
-80.18764,430.88574,52.873894,ER
-136.76608,318.98602,230.40144,ER
-147.71165,252.35167,220.64925,ER
-115.31792,95.02232,268.9022,ER
-84.71319,116.40834,294.85666,ER
-36.29288,289.80566,165.61375,ER
-107.49372,158.20209,219.68211,ER
-119.73872,166.91353,275.57574,ER
-78.641136,-19.87605,327.11847,ER
-326.07288,5.5310807,126.21971,ER
-151.96104,69.25022,324.0565,ER
-120.08685,216.41127,246.01956,ER
181.89717,-95.05469,419.9567,ER
-147.08835,197.46364,198.3049,ER
-73.1926,319.67792,201.40842,ER
-92.85049,264.45462,210.94795,ER
-108.21717,301.64926,172.6193,ER
-163.6495,286.8263,352.93286,WW
-292.9721,154.84216,314.84357,WW
-134.48752,202.13669,381.14566,WW
-89.09192,262.51562,333.32578,WW
-189.42784,211.58911,409.40417,WW
-65.50651,203.58974,364.87244,WW
-269.32004,220.58244,283.0069,WW
-169.31047,170.12466,349.35236,WW
-108.85443,160.8891,384.6698,WW
-55.826817,11.441392,343.71176,WW
-102.23519,119.829796,429.95633,WW
-127.93561,62.504578,433.71863,WW
-159.64395,-1.2720572,421.75464,WW
-189.65959,10.642976,332.0617,WW
-210.84767,73.71759,331.95865,WW
-272.4487,12.652947,402.17548,WW
-163.32959,53.427437,386.6924,WW
-140.6274,95.882225,379.72583,WW
-202.85452,157.11156,289.97086,WW
