tsne1,tsne2,tsne3,class
-53.166,-17.674805,44.325428,FH
-64.80662,-4.358118,33.839024,FH
-58.446365,-9.951165,25.773335,FH
19.864029,-17.32531,45.18514,FH
-54.68798,-7.2434835,23.092104,FH
-53.948868,-11.826823,40.651722,FH
-68.334274,0.3181556,29.74949,FH
-55.95252,-6.9727545,32.126057,FH
-59.715183,-8.015683,43.36912,FH
-50.238853,-13.805231,34.940735,FH
-16.508362,18.357973,54.87072,FH
-58.350517,-0.89004624,37.021614,FH
-66.05768,3.5657845,48.086716,FH
-63.705566,0.19813818,42.095795,FH
-70.78284,3.258945,41.292458,FH
-59.788723,5.361578,42.49743,FH
-66.31882,9.118333,41.14624,FH
-69.355354,-4.1777515,41.2493,FH
-65.76478,2.9626603,35.970505,FH
-73.27923,-1.0423574,33.92668,FH
-47.2681,-10.840584,45.36943,FH
-72.832,6.402751,32.4552,FH
-59.684643,8.8914,34.800556,FH
-65.23709,8.721716,28.589872,FH
17.3133,-22.70019,-78.10208,FH
-41.30179,-4.7942905,61.1321,FH
-62.48194,2.2413735,24.386648,FH
-60.0599,1.3911399,31.014734,FH
-47.196556,-19.964924,48.250153,FH
-31.040054,10.834819,55.35631,FH
-53.346733,0.46256956,31.29362,FH
-47.62137,-19.966928,39.7348,FH
-46.287205,-8.174388,37.169407,FH
-56.877403,8.959328,28.61517,FH
-44.015293,-13.778869,37.778606,FH
-36.989132,7.3838897,51.796406,FH
-41.504467,-2.1479697,48.582573,FH
-43.209476,3.1420784,50.588726,FH
-53.199657,5.2233057,53.17408,FH
18.057827,-26.80798,-75.29037,FH
35.947144,-37.55677,33.63444,FH
-50.87921,-3.7696826,43.66588,FH
-55.776134,-2.0561051,46.935204,FH
-50.383293,-1.653134,50.207508,FH
-58.667988,-15.92908,49.470753,FH
-54.09641,4.7283907,37.34081,FH
-59.536057,-16.103529,41.556683,FH
-58.254013,-6.9736147,53.020767,FH
-53.762383,-8.869094,48.690876,FH
-51.104195,-12.434645,54.194637,FH
-55.375656,1.7156976,59.614876,FH
-41.635387,-6.994172,54.94366,FH
-53.26975,11.209441,40.767178,FH
-75.86193,-11.514251,-8.265789,ER
-69.04418,-12.370623,-0.46652466,ER
79.940796,2.3518012,-26.241163,ER
-68.90035,-18.410273,2.95928,ER
-66.63214,-13.511109,5.6427875,ER
-74.984604,-14.752795,7.4252,ER
-77.64437,-16.983715,2.3360765,ER
-25.452457,3.1439629,-81.191864,ER
-75.15757,-18.64678,-7.5409536,ER
-67.057175,-17.318724,-5.2414727,ER
-58.41697,-1.3970801,-13.801117,ER
-59.331448,-4.3711977,-18.081327,ER
-76.566895,-11.9212675,-19.558739,ER
-59.27562,-10.132446,-9.987019,ER
-64.87677,-5.5793357,-11.24606,ER
-7.078019,16.199099,61.914913,ER
-39.719814,-19.174273,45.140327,ER
-55.81928,3.0079327,-6.117116,ER
-66.85409,-11.101243,-6.8465014,ER
-58.71508,-3.0940063,-3.6383667,ER
-61.360847,-12.887596,-3.6851804,ER
-70.507935,-16.175934,-19.739355,ER
-70.290245,-15.548859,-12.441594,ER
-66.34327,-12.923455,-17.967829,ER
-82.32724,-1.7503318,0.2804375,WW
-67.40791,1.2900718,11.509331,WW
-74.667885,5.119379,-4.6988344,WW
-78.6523,-2.550605,-10.013968,WW
-75.820496,7.626527,2.5829685,WW
-76.47487,4.0125327,-16.113617,WW
-72.474045,-8.219666,10.883238,WW
-68.4108,3.6868496,-1.7174145,WW
-72.17735,5.720208,-9.938113,WW
-2.4821012,15.973695,59.458054,WW
-70.50462,12.7008,-10.912273,WW
-64.8961,14.886943,-7.2921653,WW
-54.210453,17.475876,12.211579,WW
-50.24537,11.420684,-2.4502373,WW
-54.529312,5.1050158,1.2425144,WW
-46.237343,10.944576,8.549002,WW
-56.920578,10.38943,-7.2229404,WW
-61.708508,8.114515,-9.273006,WW
