tsne1,tsne2,tsne3,class
45.36489,-1.5756272,-24.847095,FH
31.615215,1.0336099,-38.219067,FH
27.788452,-5.070663,-42.58001,FH
-7.9803905,-36.277615,10.02693,FH
27.078793,-2.3858314,-42.315254,FH
43.16778,-3.0631847,-27.920536,FH
30.946758,1.0768933,-34.09351,FH
31.211731,-3.4017704,-41.169235,FH
40.28094,-4.0073266,-31.400103,FH
45.559837,-0.6390997,-29.693876,FH
22.671867,-3.6048176,-29.053532,FH
33.786644,-4.5819745,-37.772884,FH
37.581047,-6.4716287,-36.91344,FH
37.72386,-2.4479432,-36.21967,FH
36.925777,1.4049238,-37.176117,FH
35.480373,-4.049786,-33.832073,FH
36.45439,-1.7336692,-39.88015,FH
36.236904,0.109509915,-32.95336,FH
33.933033,-0.75821996,-35.928288,FH
33.27008,3.7722116,-34.528137,FH
44.400856,-5.946842,-30.410133,FH
32.89779,2.1299036,-30.630257,FH
31.829502,-2.7591288,-32.058506,FH
27.9716,-4.7977343,-33.744812,FH
0.42174017,23.831465,-31.83284,FH
35.421894,-5.591111,-16.942148,FH
27.36045,-0.78622806,-35.621475,FH
30.60677,-2.904666,-36.81456,FH
42.451176,0.6993147,-22.132381,FH
28.167917,-11.887325,-23.768806,FH
30.607037,-6.6143303,-38.055065,FH
41.83672,0.35698202,-25.9451,FH
42.207577,1.0510424,-30.614294,FH
28.89807,-1.3982143,-30.633184,FH
44.166054,2.4657948,-28.269503,FH
33.123226,-11.322423,-23.4593,FH
37.484875,-7.71784,-23.029484,FH
34.287785,-7.3983335,-24.43757,FH
32.484417,-2.223373,-25.463753,FH
0.5062102,22.773432,-34.130405,FH
2.17718,-39.83251,4.415811,FH
38.091755,-1.9624246,-28.19758,FH
36.516804,-4.884613,-28.461887,FH
36.78414,-3.438826,-25.298365,FH
41.585686,-4.0172787,-23.542778,FH
32.417625,-6.3776436,-34.454353,FH
45.14773,-5.3291326,-25.2877,FH
38.77952,-8.516329,-29.395258,FH
40.171448,-5.8560567,-27.693125,FH
41.90244,-9.025437,-26.10907,FH
33.14619,0.66879326,-22.675959,FH
37.249245,-5.0527654,-19.653198,FH
31.378828,-7.2612944,-30.815573,FH
13.522296,8.865482,-42.113552,ER
15.800512,2.5528276,-38.805958,ER
-43.694435,7.8217607,-9.753386,ER
17.370358,5.0703177,-40.862293,ER
18.572397,4.8554397,-37.915188,ER
20.888517,7.2035136,-41.72724,ER
18.646515,8.279183,-43.972042,ER
-26.4105,18.933626,-40.568798,ER
11.65918,7.0046935,-44.67975,ER
12.837153,4.3046618,-40.50902,ER
9.091805,8.116249,-30.802454,ER
8.581998,5.9955273,-29.17304,ER
7.74941,12.266444,-42.328724,ER
9.705486,4.9064603,-34.630245,ER
10.034135,8.493253,-35.25385,ER
-0.8690473,35.798115,1.6873391,ER
39.480362,3.8707159,-24.409103,ER
14.038069,5.3479376,-27.606268,ER
13.214752,6.105527,-37.599022,ER
14.296686,5.3164034,-31.182575,ER
13.139682,3.3331892,-35.603374,ER
6.1841846,8.477005,-42.4833,ER
9.818542,7.4054503,-40.931293,ER
6.214731,6.358609,-40.543064,ER
14.750797,15.394325,-38.944023,WW
22.192053,10.055237,-32.905457,WW
19.206213,14.806083,-33.176876,WW
18.0708,19.182734,-36.604286,WW
14.685164,15.508353,-33.32135,WW
17.54208,21.134531,-31.892313,WW
22.582714,8.379569,-38.117096,WW
17.630047,11.47725,-31.896883,WW
18.943077,17.16247,-31.152418,WW
-2.7864842,35.471016,3.6602702,WW
21.651793,16.827055,-28.318804,WW
22.37816,13.486719,-26.31949,WW
23.584993,8.357853,-23.726515,WW
15.049603,8.361498,-22.242245,WW
17.22212,6.9492755,-25.948565,WW
19.907213,2.0653217,-20.787563,WW
18.938063,11.192444,-23.575693,WW
18.53138,12.508445,-26.272305,WW
17.843584,6.405873,-32.476376,WW
20.958555,-0.89796424,-31.321121,WW
18.899149,2.1903574,-32.201256,WW
26.354342,9.785816,-21.773731,WW
28.507284,12.586939,-21.929314,WW
26.928581,15.042736,-21.909159,WW
21.626875,5.6497583,-30.421036,WW
20.126827,0.09842614,-35.554623,WW
21.854864,6.9349084,-34.19729,WW
17.39004,8.494011,-29.747297,WW
18.136353,10.386665,-35.61843,WW
16.466997,12.02278,-38.027245,WW
19.120052,4.648809,-23.66629,WW
14.335111,9.474895,-29.342163,WW
13.7457075,9.94902,-34.226494,WW
13.864033,14.063868,-26.339842,WW
13.063829,13.369244,-29.57517,WW
14.375707,13.186148,-23.367672,WW
-23.038877,11.1443405,-19.520933,TC
-17.625685,8.120198,-14.22189,TC
4.8971877,12.208463,-12.701094,TC
-14.645688,4.4529653,-28.771757,TC
-18.298782,7.1355906,-30.61409,TC
-14.992347,7.3236914,-29.854412,TC
-22.527376,-1.652344,-14.417813,TC
-10.529997,-8.244691,-13.514584,TC
-23.186539,-4.0313435,-12.193744,TC
-17.012468,-9.803352,-9.410015,TC
-3.2917023,28.748798,-19.31948,TC
-5.49133,28.05419,-20.660952,TC
-38.813705,13.073593,9.13377,TC
-26.083519,-8.612318,-9.943145,TC
-15.165784,6.4351454,-34.590324,TC
-18.624748,-4.9354663,-9.143973,TC
-21.711304,-8.795107,-9.98359,TC
-21.983778,-6.149548,-9.105181,TC
-30.364908,12.240431,-19.936308,CS
-13.078241,13.241573,-18.887026,CS
-33.164238,0.2484664,-10.314024,CS
-29.951614,-1.3699312,-5.8970375,CS
-33.852043,-0.83331305,-0.31436822,CS
-33.004,1.6225796,-3.1024096,CS
-12.292181,4.9066105,9.827552,CS
-15.220503,11.853921,-21.79425,CS
-32.659237,-5.93533,-2.7379632,CS
-38.45048,1.7472497,-7.022907,CS
-40.50365,-0.84149486,-8.931128,CS
-35.84473,1.6932122,-8.91095,CS
-36.036667,-0.95793164,-5.040575,CS
-27.837572,25.401707,-20.965603,CS
-25.678513,14.041947,-16.74632,CS
-20.116438,17.916702,5.9479833,CS
-33.24451,7.6584616,-7.6465526,CS
-38.28436,6.1451006,-8.2332735,CS
-21.761343,5.563972,-2.961576,CS
-21.25823,-5.2683516,1.8932811,CS
-20.402245,-6.078084,5.858221,CS
-22.468222,-2.0440793,-4.149272,CS
-28.931688,-6.5491986,-0.326514,CS
-24.899925,-11.415698,7.432065,CS
-4.272621,-1.4414517,-7.955769,CS
-24.961073,-10.013372,11.399087,CS
-23.787344,-3.3119147,17.958603,CS
-10.523145,28.14102,-22.230608,CS
-22.409761,17.195402,-15.863823,CS
-39.23243,8.481191,-2.9590137,CS
-32.149906,-3.5066679,1.9123633,CS
-32.022835,-5.686086,4.846893,CS
-30.892145,-2.92677,-1.2656682,CS
-40.387577,-1.2741472,4.2840276,CS
-39.204082,-5.119159,3.7259228,CS
-39.79696,-8.130005,5.301764,CS
-5.6490355,17.866741,-17.493011,CS
-4.405572,-31.288383,-4.576117,CS
-2.2613797,-33.75757,-1.0137627,CS
-16.602066,-12.25341,6.7734165,CS
-18.995253,6.58226,10.114838,CS
-19.701307,29.703955,-19.23109,CS
-23.080511,12.688868,-2.5410802,CS
-23.860847,3.4540586,-11.341453,CS
-39.601696,9.839904,-10.116861,CS
-6.8770247,-33.03879,-3.6152735,CS
-24.737036,-2.9452922,2.261343,CS
-8.986661,4.7192607,7.783849,CS
-7.392787,19.769016,-16.367634,CS
-29.689442,-0.64792633,-12.943111,CS
-27.826952,16.982061,-42.966797,CS
-25.798388,-2.7840047,-2.8797724,CS
-22.894173,-2.54128,-23.91664,CS
-22.17003,-6.9694395,-23.74088,CS
-28.331293,13.141542,-46.05981,CS
-27.637882,22.403004,-13.824234,CS
-22.894064,17.372192,-7.6259413,CS
-24.16986,9.200241,-4.6867766,CS
-23.980553,11.409285,-6.4015083,CS
-5.191291,-36.05562,1.1732379,CS
-4.475843,-29.986412,-8.225974,CS
