tsne1,tsne2,tsne3,class
-612.09576,-188.82358,150.2581,AB
-221.19221,-382.97946,403.60867,AB
-143.30511,-383.59586,379.99722,AB
100.24479,-471.96118,416.87155,AB
52.245903,-432.50674,391.2677,AB
-160.52536,-270.7425,527.8266,AB
-294.50903,-318.24567,-167.77623,AB
-164.0358,-87.31628,509.34576,AB
-96.569084,-176.88828,516.44824,AB
-155.02693,-436.08627,-16.987421,AB
-222.99341,-518.5739,46.883728,AB
-222.3698,-478.33585,103.173225,AB
12.60327,-297.2096,493.5331,AB
-74.56922,-287.58734,483.54626,AB
-205.01793,-607.5019,103.847305,AB
-184.28009,-481.74548,347.33502,AB
-126.89226,-537.41455,372.07184,AB
-165.84065,-477.88867,253.09383,AB
-234.4944,-230.48451,474.39142,LV
-434.014,-248.31229,359.0521,LV
-304.10434,-254.63591,523.9461,LV
-178.29726,-282.4929,428.24057,LV
-289.20688,-274.17694,405.33374,LV
-243.55106,-325.21063,481.06442,LV
-501.4895,-295.14236,168.4693,LV
-541.6226,-206.10507,135.4294,LV
-428.3472,-338.69604,182.01746,LV
-296.02423,-392.0874,-49.24705,LV
164.64047,-384.27097,-293.87366,LV
-365.6751,-387.4343,444.1778,LV
-198.18536,-288.39035,328.78436,LV
-209.17418,-373.67752,301.1759,LV
-286.48514,-345.5528,290.3444,LV
-403.95776,-263.468,279.56247,LV
-326.15625,-288.09882,191.2293,LV
447.5744,-139.77647,378.558,LV
-506.4891,-212.9983,323.2786,LV
-323.21094,-400.11005,183.09386,LV
-451.35254,-438.3804,-26.476685,LV
18.347519,53.71982,453.02014,LV
-406.50806,-455.7679,89.78514,LV
-389.4046,-353.66562,86.96584,LV
-350.3265,-540.3283,257.99518,LV
-381.70367,-475.83664,287.57333,LV
-311.6218,-470.3266,339.29013,LV
-331.2005,37.137962,-225.56885,SV_SE
-346.2569,106.065575,-303.11987,SV_SE
280.8211,-493.08667,-181.50923,SV_SE
150.759,279.13687,-99.866356,SV_SE
-435.52283,-143.87373,-371.13403,SV_SE
-12.500247,552.9345,-362.28375,SV_SE
-128.28047,228.72975,-450.30264,SV_SE
-295.2576,502.4108,-112.60548,SV_SE
191.42041,-326.63177,477.86902,SV_SE
-485.63635,200.61966,36.36196,SV_SE
-190.99524,183.13931,-105.974915,SV_SE
77.25927,-449.49948,-209.87578,SV_SE
-141.68155,231.48317,-120.34995,SV_SE
307.18738,231.6748,-369.88766,SV_SE
-106.25626,310.52634,-158.70378,SV_SE
-31.088406,217.91797,-86.396484,SV_SE
-191.74971,245.92918,-196.66698,SV_SE
-313.1893,124.62797,-21.387861,SV_SE
-393.79584,185.24811,44.86665,SV_SE
319.59503,80.77739,-393.7169,SV_SE
-109.228775,156.98613,-194.03712,SV_SE
-19.573544,196.47511,-187.38406,SV_SE
29.262562,269.0409,-214.79997,SV_SE
81.78526,243.74376,-163.1466,SV_SE
77.4375,331.09296,-156.68945,SV_SE
-425.66312,74.23617,40.942596,SV_SE
-516.08765,95.370964,57.82078,SV_SE
-29.236288,-492.89545,549.58435,SV_SE
410.97107,-90.56617,-258.76578,BA
343.67426,380.48602,-270.54288,BA
454.52936,389.16107,-240.2001,BA
-538.7786,239.52014,-260.30707,BA
-554.8979,294.10205,-177.18614,BA
-519.47955,192.74104,-195.7878,BA
-312.3318,-133.14188,357.18817,BA
-294.50397,-166.22751,289.6749,BA
-245.04854,-183.09044,373.85648,BA
-341.68637,-10.628568,-513.0765,BA
253.0779,318.5288,-260.24884,BA
303.57016,310.70587,-315.11044,BA
-481.249,16.491032,-4.309574,BA
-588.9009,41.43567,-92.74415,BA
-146.56308,92.07452,-322.50223,BA
318.92673,139.01672,-455.79205,BA
215.78001,156.8453,-380.75812,BA
254.94325,229.88472,-294.9897,BA
-53.896183,-22.83844,-590.6066,BA
-308.76297,130.36737,-164.34056,BA
-489.04153,229.96014,-81.73372,BA
-411.24234,150.24518,-219.35965,BA
-323.1973,410.0503,-358.38483,BA
-472.21536,110.195625,-366.24918,BA
-322.1138,213.26492,-177.87346,BA
-399.627,221.9377,-80.591415,BA
-391.32806,142.69775,-120.49965,BA
-332.53348,339.7211,-216.97636,BA
-354.72995,437.00674,-199.3566,BA
-310.96957,234.32518,-7.617023,BA
153.72713,-406.9243,-145.07396,BA
-55.97972,268.4677,-363.22964,BA
-131.2417,210.58292,-327.63724,BA
-38.720676,345.13968,-72.03369,BA
-274.36603,-204.68932,-346.91714,BA
335.73874,134.28123,-118.30907,BA
-471.19073,195.90776,148.56856,BA
-441.623,-77.661125,-217.5192,BA
-15.470225,-35.11653,577.6993,BA
-417.23474,341.03027,-338.89847,BA
-387.06644,266.32748,-283.91678,BA
-452.35544,405.27768,-278.65845,BA
-550.8164,-90.319016,75.5344,BA
-473.28018,-64.283775,37.798813,BA
-410.34314,-94.15781,96.94342,BA
-465.40204,-71.908,-56.967365,BA
-621.30524,216.90175,57.186493,BA
-399.7556,-28.471289,14.765411,BA
-378.4057,219.10469,-486.3701,BA
-197.69228,222.9755,-525.7977,BA
-175.7682,255.93385,-39.611866,BA
-344.87372,174.39833,-404.47693,BA
-316.50586,-121.82078,-324.784,BA
-188.67548,168.07777,-432.58112,BA
225.91415,-529.2783,-39.46234,BA
-160.19476,376.22324,-454.36282,BA
-258.89355,480.5104,-60.472584,BA
-191.53012,158.81403,-278.13132,BA
-442.7689,332.91586,2.334358,BA
-482.9523,360.46582,-137.09563,BA
-204.41672,-59.66919,-501.60995,BA
-407.86734,313.28363,-200.83473,BA
-193.71352,343.08655,-48.40853,BA
-85.01101,481.3083,-150.71788,BA
-281.25287,-30.176493,-361.40564,BA
-398.41626,-78.88847,-406.28085,BA
144.97325,-515.0008,-168.80907,BA
-251.27412,31.677904,-397.40298,BA
-358.71933,368.72043,-127.68463,BA
-349.65396,264.79932,-401.42587,BA
-278.97623,296.9438,-297.46185,BA
-452.4811,47.80954,-159.17455,BA
-359.59943,18.640802,-92.99767,BA
46.212883,-548.1985,-40.215694,BA
-158.65987,138.03009,288.25803,SV_SE
-223.64224,151.40652,373.59198,SV_SE
-246.73363,82.19902,336.04684,SV_SE
-35.801277,121.65477,127.17165,SV_SE
-44.62558,117.05634,210.3417,SV_SE
-45.850025,124.13836,41.41818,SV_SE
167.03407,-251.58365,-384.85196,SV_SE
556.08325,317.70117,-132.03127,SV_SE
149.48447,-638.9991,73.78844,SV_SE
-117.51104,96.51121,-31.07811,SV_SE
204.87619,-42.690983,-139.7312,SV_SE
-179.64905,186.42142,93.566505,SV_SE
53.801167,-140.34737,-248.14542,SV_SE
112.963524,-105.64121,-205.34169,SV_SE
-19.267431,352.99393,113.05109,SV_SE
-16.150856,231.07913,110.958336,SV_SE
-87.866264,269.32153,120.82528,SV_SE
-62.054447,301.55914,210.2847,SV_SE
-134.83018,-91.19829,167.18959,SV_SE
94.66842,-93.34745,-493.4484,SV_SE
-153.35316,-178.36958,206.95848,SV_SE
94.13303,283.7448,428.87616,SV_SE
346.84824,3.6481614,-163.37535,SV_SE
-53.78946,150.30156,-603.60596,SV_SE
490.19165,268.53,-92.19626,SV_SE
543.4392,281.35037,-225.51482,SV_SE
457.5801,318.06784,-156.194,SV_SE
-383.95612,-273.33154,-106.10695,SV_SE
-274.92166,-149.31702,-134.01106,SV_SE
-361.3966,-214.92043,-82.18616,SV_SE
87.0562,-25.540432,371.29688,SV_SE
416.3345,-222.56717,53.13121,SV_SE
494.89545,-202.31596,48.318806,SV_SE
